FLOPs,Patch size,Tokens,Encoder parameters,Global transformer parameters,Decoder parameters,Global transformer dimension,Encoder/Decoder dimension,Global transformer layers,Decoder layers
m,4,9622697865.762594,3152384,402866176,18914304,2048,512,8,6
l,4,24056744664.406487,3152384,402866176,18914304,2048,512,8,6
xl,4,48113489328.81297,3152384,402866176,18914304,2048,512,8,6
s,4,52483520174.66515,198272,31523840,1189632,512,128,10,6
m,4,104967040349.3303,198272,31523840,1189632,512,128,10,6
l,4,262417600873.32578,198272,31523840,1189632,512,128,10,6
xl,4,524835201746.65155,198272,31523840,1189632,512,128,10,6
s,4,27959327007.81519,198272,70878720,1189632,768,128,10,6
m,4,55918654015.63038,198272,70878720,1189632,768,128,10,6
l,4,139796635039.07596,198272,70878720,1189632,768,128,10,6
xl,4,279593270078.1519,198272,70878720,1189632,768,128,10,6
s,4,17129998876.272074,198272,125962240,1189632,1024,128,10,6
m,4,34259997752.544147,198272,125962240,1189632,1024,128,10,6
l,4,85649994381.36037,198272,125962240,1189632,1024,128,10,6
xl,4,171299988762.72073,198272,125962240,1189632,1024,128,10,6
s,4,11509302278.473553,198272,196774400,1189632,1280,128,10,6
m,4,23018604556.947105,198272,196774400,1189632,1280,128,10,6
l,4,57546511392.36777,198272,196774400,1189632,1280,128,10,6
xl,4,115093022784.73553,198272,196774400,1189632,1280,128,10,6
s,4,8244458075.2817955,198272,283315200,1189632,1536,128,10,6
m,4,16488916150.563591,198272,283315200,1189632,1536,128,10,6
l,4,41222290376.40898,198272,283315200,1189632,1536,128,10,6
xl,4,82444580752.81796,198272,283315200,1189632,1536,128,10,6
s,4,6188149446.284388,198272,385584640,1189632,1792,128,10,6
m,4,12376298892.568775,198272,385584640,1189632,1792,128,10,6
l,4,30940747231.421936,198272,385584640,1189632,1792,128,10,6
xl,4,61881494462.84387,198272,385584640,1189632,1792,128,10,6
s,4,4812249137.452465,198272,503582720,1189632,2048,128,10,6
m,4,9624498274.90493,198272,503582720,1189632,2048,128,10,6
l,4,24061245687.26232,198272,503582720,1189632,2048,128,10,6
xl,4,48122491374.52464,198272,503582720,1189632,2048,128,10,6
s,4,14956375244.686298,789760,125962240,4738560,1024,256,10,6
m,4,29912750489.372597,789760,125962240,4738560,1024,256,10,6
l,4,74781876223.43149,789760,125962240,4738560,1024,256,10,6
xl,4,149563752446.86298,789760,125962240,4738560,1024,256,10,6
s,4,10485451226.71391,789760,196774400,4738560,1280,256,10,6
m,4,20970902453.42782,789760,196774400,4738560,1280,256,10,6
l,4,52427256133.56955,789760,196774400,4738560,1280,256,10,6
xl,4,104854512267.1391,789760,196774400,4738560,1280,256,10,6
s,4,7705490007.520558,789760,283315200,4738560,1536,256,10,6
m,4,15410980015.041117,789760,283315200,4738560,1536,256,10,6
l,4,38527450037.60279,789760,283315200,4738560,1536,256,10,6
xl,4,77054900075.20558,789760,283315200,4738560,1536,256,10,6
s,4,5879475456.717653,789760,385584640,4738560,1792,256,10,6
m,4,11758950913.435307,789760,385584640,4738560,1792,256,10,6
l,4,29397377283.58827,789760,385584640,4738560,1792,256,10,6
xl,4,58794754567.17654,789760,385584640,4738560,1792,256,10,6
s,4,4623485531.079439,789760,503582720,4738560,2048,256,10,6
m,4,9246971062.158878,789760,503582720,4738560,2048,256,10,6
l,4,23117427655.397198,789760,503582720,4738560,2048,256,10,6
xl,4,46234855310.794395,789760,503582720,4738560,2048,256,10,6
s,4,9173032751.396135,1774464,196774400,10646784,1280,384,10,6
m,4,18346065502.79227,1774464,196774400,10646784,1280,384,10,6
l,4,45865163756.980675,1774464,196774400,10646784,1280,384,10,6
xl,4,91730327513.96135,1774464,196774400,10646784,1280,384,10,6
s,4,6972403783.616748,1774464,283315200,10646784,1536,384,10,6
m,4,13944807567.233496,1774464,283315200,10646784,1536,384,10,6
l,4,34862018918.08374,1774464,283315200,10646784,1536,384,10,6
xl,4,69724037836.16748,1774464,283315200,10646784,1536,384,10,6
s,4,5442823789.232963,1774464,385584640,10646784,1792,384,10,6
m,4,10885647578.465925,1774464,385584640,10646784,1792,384,10,6
l,4,27214118946.164814,1774464,385584640,10646784,1792,384,10,6
xl,4,54428237892.32963,1774464,385584640,10646784,1792,384,10,6
s,4,4349111911.347703,1774464,503582720,10646784,2048,384,10,6
m,4,8698223822.695406,1774464,503582720,10646784,2048,384,10,6
l,4,21745559556.738514,1774464,503582720,10646784,2048,384,10,6
xl,4,43491119113.47703,1774464,503582720,10646784,2048,384,10,6
s,4,4937440651.963364,3152384,385584640,18914304,1792,512,10,6
m,4,9874881303.926727,3152384,385584640,18914304,1792,512,10,6
l,4,24687203259.81682,3152384,385584640,18914304,1792,512,10,6
xl,4,49374406519.63364,3152384,385584640,18914304,1792,512,10,6
s,4,4020295739.3870625,3152384,503582720,18914304,2048,512,10,6
m,4,8040591478.774125,3152384,503582720,18914304,2048,512,10,6
l,4,20101478696.935314,3152384,503582720,18914304,2048,512,10,6
xl,4,40202957393.87063,3152384,503582720,18914304,2048,512,10,6
m,4,7333937649.795676,4923520,503582720,29541120,2048,640,10,6
l,4,18334844124.489193,4923520,503582720,29541120,2048,640,10,6
xl,4,36669688248.978386,4923520,503582720,29541120,2048,640,10,6
s,4,45045629420.77807,198272,37828608,1189632,512,128,12,6
m,4,90091258841.55614,198272,37828608,1189632,512,128,12,6
l,4,225228147103.89035,198272,37828608,1189632,512,128,12,6
xl,4,450456294207.7807,198272,37828608,1189632,512,128,12,6
s,4,23665905571.143497,198272,85054464,1189632,768,128,12,6
m,4,47331811142.286995,198272,85054464,1189632,768,128,12,6
l,4,118329527855.7175,198272,85054464,1189632,768,128,12,6
xl,4,236659055711.435,198272,85054464,1189632,768,128,12,6
s,4,14411727133.661966,198272,151154688,1189632,1024,128,12,6
m,4,28823454267.323933,198272,151154688,1189632,1024,128,12,6
l,4,72058635668.30983,198272,151154688,1189632,1024,128,12,6
xl,4,144117271336.61966,198272,151154688,1189632,1024,128,12,6
s,4,9652614005.09349,198272,236129280,1189632,1280,128,12,6
m,4,19305228010.18698,198272,236129280,1189632,1280,128,12,6
l,4,48263070025.46745,198272,236129280,1189632,1280,128,12,6
xl,4,96526140050.9349,198272,236129280,1189632,1280,128,12,6
s,4,6901896552.828442,198272,339978240,1189632,1536,128,12,6
m,4,13803793105.656883,198272,339978240,1189632,1536,128,12,6
l,4,34509482764.142204,198272,339978240,1189632,1536,128,12,6
xl,4,69018965528.28441,198272,339978240,1189632,1536,128,12,6
s,4,5174525570.518352,198272,462701568,1189632,1792,128,12,6
m,4,10349051141.036703,198272,462701568,1189632,1792,128,12,6
l,4,25872627852.59176,198272,462701568,1189632,1792,128,12,6
xl,4,51745255705.18352,198272,462701568,1189632,1792,128,12,6
s,4,4020924246.4305453,198272,604299264,1189632,2048,128,12,6
m,4,8041848492.861091,198272,604299264,1189632,2048,128,12,6
l,4,20104621232.152725,198272,604299264,1189632,2048,128,12,6
xl,4,40209242464.30545,198272,604299264,1189632,2048,128,12,6
s,4,19708751947.224693,789760,85054464,4738560,768,256,12,6
m,4,39417503894.44939,789760,85054464,4738560,768,256,12,6
l,4,98543759736.12346,789760,85054464,4738560,768,256,12,6
xl,4,197087519472.24692,789760,85054464,4738560,768,256,12,6
s,4,12841596746.7407,789760,151154688,4738560,1024,256,12,6
m,4,25683193493.4814,789760,151154688,4738560,1024,256,12,6
l,4,64207983733.7035,789760,151154688,4738560,1024,256,12,6
xl,4,128415967467.407,789760,151154688,4738560,1024,256,12,6
s,4,8921969171.384604,789760,236129280,4738560,1280,256,12,6
m,4,17843938342.769207,789760,236129280,4738560,1280,256,12,6
l,4,44609845856.92302,789760,236129280,4738560,1280,256,12,6
xl,4,89219691713.84604,789760,236129280,4738560,1280,256,12,6
s,4,6520107175.956933,789760,339978240,4738560,1536,256,12,6
m,4,13040214351.913866,789760,339978240,4738560,1536,256,12,6
l,4,32600535879.784664,789760,339978240,4738560,1536,256,12,6
xl,4,65201071759.56933,789760,339978240,4738560,1536,256,12,6
s,4,4956913712.901268,789760,462701568,4738560,1792,256,12,6
m,4,9913827425.802536,789760,462701568,4738560,1792,256,12,6
l,4,24784568564.50634,789760,462701568,4738560,1792,256,12,6
xl,4,49569137129.01268,789760,462701568,4738560,1792,256,12,6
m,4,7776562560.26836,789760,604299264,4738560,2048,256,12,6
l,4,19441406400.6709,789760,604299264,4738560,2048,256,12,6
xl,4,38882812801.3418,789760,604299264,4738560,2048,256,12,6
s,4,7953687902.377071,1774464,236129280,10646784,1280,384,12,6
m,4,15907375804.754143,1774464,236129280,10646784,1280,384,12,6
l,4,39768439511.88535,1774464,236129280,10646784,1280,384,12,6
xl,4,79536879023.7707,1774464,236129280,10646784,1280,384,12,6
s,4,5987426213.354317,1774464,339978240,10646784,1536,384,12,6
m,4,11974852426.708633,1774464,339978240,10646784,1536,384,12,6
l,4,29937131066.771587,1774464,339978240,10646784,1536,384,12,6
xl,4,59874262133.543175,1774464,339978240,10646784,1536,384,12,6
s,4,4642883514.435505,1774464,462701568,10646784,1792,384,12,6
m,4,9285767028.87101,1774464,462701568,10646784,1792,384,12,6
l,4,23214417572.177525,1774464,462701568,10646784,1792,384,12,6
xl,4,46428835144.35505,1774464,462701568,10646784,1792,384,12,6
m,4,7384760807.597442,1774464,604299264,10646784,2048,384,12,6
l,4,18461902018.993607,1774464,604299264,10646784,2048,384,12,6
xl,4,36923804037.98721,1774464,604299264,10646784,2048,384,12,6
s,4,5381476973.478015,3152384,339978240,18914304,1536,512,12,6
m,4,10762953946.95603,3152384,339978240,18914304,1536,512,12,6
l,4,26907384867.390076,3152384,339978240,18914304,1536,512,12,6
xl,4,53814769734.78015,3152384,339978240,18914304,1536,512,12,6
s,4,4270049693.8135247,3152384,462701568,18914304,1792,512,12,6
m,4,8540099387.627049,3152384,462701568,18914304,1792,512,12,6
l,4,21350248469.067623,3152384,462701568,18914304,1792,512,12,6
xl,4,42700496938.13525,3152384,462701568,18914304,1792,512,12,6
m,4,6905268554.180394,3152384,604299264,18914304,2048,512,12,6
l,4,17263171385.450985,3152384,604299264,18914304,2048,512,12,6
xl,4,34526342770.90197,3152384,604299264,18914304,2048,512,12,6
l,4,15943836877.967148,4923520,604299264,29541120,2048,640,12,6
xl,4,31887673755.934296,4923520,604299264,29541120,2048,640,12,6
s,4,39454231198.00722,198272,44133376,1189632,512,128,14,6
m,4,78908462396.01443,198272,44133376,1189632,512,128,14,6
l,4,197271155990.03607,198272,44133376,1189632,512,128,14,6
xl,4,394542311980.07214,198272,44133376,1189632,512,128,14,6
s,4,20515547502.51931,198272,99230208,1189632,768,128,14,6
m,4,41031095005.03862,198272,99230208,1189632,768,128,14,6
l,4,102577737512.59654,198272,99230208,1189632,768,128,14,6
xl,4,205155475025.19308,198272,99230208,1189632,768,128,14,6
s,4,12438004012.798607,198272,176347136,1189632,1024,128,14,6
m,4,24876008025.597214,198272,176347136,1189632,1024,128,14,6
l,4,62190020063.993034,198272,176347136,1189632,1024,128,14,6
xl,4,124380040127.98607,198272,176347136,1189632,1024,128,14,6
s,4,8311756014.719123,198272,275484160,1189632,1280,128,14,6
m,4,16623512029.438246,198272,275484160,1189632,1280,128,14,6
l,4,41558780073.59561,198272,275484160,1189632,1280,128,14,6
xl,4,83117560147.19122,198272,275484160,1189632,1280,128,14,6
s,4,5935358344.6485,198272,396641280,1189632,1536,128,14,6
m,4,11870716689.297,198272,396641280,1189632,1536,128,14,6
l,4,29676791723.242504,198272,396641280,1189632,1536,128,14,6
xl,4,59353583446.48501,198272,396641280,1189632,1536,128,14,6
s,4,4446229575.977669,198272,539818496,1189632,1792,128,14,6
m,4,8892459151.955338,198272,539818496,1189632,1792,128,14,6
l,4,22231147879.888344,198272,539818496,1189632,1792,128,14,6
xl,4,44462295759.77669,198272,539818496,1189632,1792,128,14,6
m,4,6906195630.9748955,198272,705015808,1189632,2048,128,14,6
l,4,17265489077.437237,198272,705015808,1189632,2048,128,14,6
xl,4,34530978154.87447,198272,705015808,1189632,2048,128,14,6
s,4,17474110358.09345,789760,99230208,4738560,768,256,14,6
m,4,34948220716.1869,789760,99230208,4738560,768,256,14,6
l,4,87370551790.46724,789760,99230208,4738560,768,256,14,6
xl,4,174741103580.93448,789760,99230208,4738560,768,256,14,6
s,4,11250776753.62707,789760,176347136,4738560,1024,256,14,6
m,4,22501553507.25414,789760,176347136,4738560,1024,256,14,6
l,4,56253883768.13535,789760,176347136,4738560,1024,256,14,6
xl,4,112507767536.2707,789760,176347136,4738560,1024,256,14,6
s,4,7764245215.982668,789760,275484160,4738560,1280,256,14,6
m,4,15528490431.965336,789760,275484160,4738560,1280,256,14,6
l,4,38821226079.91334,789760,275484160,4738560,1280,256,14,6
xl,4,77642452159.82668,789760,275484160,4738560,1280,256,14,6
s,4,5650808599.065998,789760,396641280,4738560,1536,256,14,6
m,4,11301617198.131996,789760,396641280,4738560,1536,256,14,6
l,4,28254042995.32999,789760,396641280,4738560,1536,256,14,6
xl,4,56508085990.65998,789760,396641280,4738560,1536,256,14,6
s,4,4284606457.8685393,789760,539818496,4738560,1792,256,14,6
m,4,8569212915.737079,789760,539818496,4738560,1792,256,14,6
l,4,21423032289.342697,789760,539818496,4738560,1792,256,14,6
xl,4,42846064578.685394,789760,539818496,4738560,1792,256,14,6
m,4,6709629767.997106,789760,705015808,4738560,2048,256,14,6
l,4,16774074419.992764,789760,705015808,4738560,2048,256,14,6
xl,4,33548148839.985527,789760,705015808,4738560,2048,256,14,6
s,4,7020476201.708952,1774464,275484160,10646784,1280,384,14,6
m,4,14040952403.417904,1774464,275484160,10646784,1280,384,14,6
l,4,35102381008.54476,1774464,275484160,10646784,1280,384,14,6
xl,4,70204762017.08952,1774464,275484160,10646784,1280,384,14,6
s,4,5246292885.506415,1774464,396641280,10646784,1536,384,14,6
m,4,10492585771.01283,1774464,396641280,10646784,1536,384,14,6
l,4,26231464427.532074,1774464,396641280,10646784,1536,384,14,6
xl,4,52462928855.06415,1774464,396641280,10646784,1536,384,14,6
s,4,4047950008.0117025,1774464,539818496,10646784,1792,384,14,6
m,4,8095900016.023405,1774464,539818496,10646784,1792,384,14,6
l,4,20239750040.058514,1774464,539818496,10646784,1792,384,14,6
xl,4,40479500080.11703,1774464,539818496,10646784,1792,384,14,6
l,4,16039830106.119516,1774464,705015808,10646784,2048,384,14,6
xl,4,32079660212.239033,1774464,705015808,10646784,2048,384,14,6
s,4,4775168269.28954,3152384,396641280,18914304,1536,512,14,6
m,4,9550336538.57908,3152384,396641280,18914304,1536,512,14,6
l,4,23875841346.447704,3152384,396641280,18914304,1536,512,14,6
xl,4,47751682692.89541,3152384,396641280,18914304,1536,512,14,6
m,4,7523193705.265586,3152384,539818496,18914304,1792,512,14,6
l,4,18807984263.163963,3152384,539818496,18914304,1792,512,14,6
xl,4,37615968526.32793,3152384,539818496,18914304,1792,512,14,6
l,4,15127223580.848597,3152384,705015808,18914304,2048,512,14,6
xl,4,30254447161.697193,3152384,705015808,18914304,2048,512,14,6
m,4,6901039208.171449,4923520,539818496,29541120,1792,640,14,6
l,4,17252598020.428623,4923520,539818496,29541120,1792,640,14,6
xl,4,34505196040.85725,4923520,539818496,29541120,1792,640,14,6
l,4,14104499673.903967,4923520,705015808,29541120,2048,640,14,6
xl,4,28208999347.807934,4923520,705015808,29541120,2048,640,14,6
s,4,35097650085.975204,198272,50438144,1189632,512,128,16,6
m,4,70195300171.95041,198272,50438144,1189632,512,128,16,6
l,4,175488250429.876,198272,50438144,1189632,512,128,16,6
xl,4,350976500859.752,198272,50438144,1189632,512,128,16,6
s,4,18105393669.19563,198272,113405952,1189632,768,128,16,6
m,4,36210787338.39126,198272,113405952,1189632,768,128,16,6
l,4,90526968345.97813,198272,113405952,1189632,768,128,16,6
xl,4,181053936691.95627,198272,113405952,1189632,768,128,16,6
s,4,10939773831.99098,198272,201539584,1189632,1024,128,16,6
m,4,21879547663.98196,198272,201539584,1189632,1024,128,16,6
l,4,54698869159.954895,198272,201539584,1189632,1024,128,16,6
xl,4,109397738319.90979,198272,201539584,1189632,1024,128,16,6
s,4,7297983071.014629,198272,314839040,1189632,1280,128,16,6
m,4,14595966142.029259,198272,314839040,1189632,1280,128,16,6
l,4,36489915355.07315,198272,314839040,1189632,1280,128,16,6
xl,4,72979830710.1463,198272,314839040,1189632,1280,128,16,6
s,4,5206274251.86672,198272,453304320,1189632,1536,128,16,6
m,4,10412548503.73344,198272,453304320,1189632,1536,128,16,6
l,4,26031371259.3336,198272,453304320,1189632,1536,128,16,6
xl,4,52062742518.6672,198272,453304320,1189632,1536,128,16,6
m,4,7795298699.008301,198272,616935424,1189632,1792,128,16,6
l,4,19488246747.520752,198272,616935424,1189632,1792,128,16,6
xl,4,38976493495.041504,198272,616935424,1189632,1792,128,16,6
l,4,15129003194.761347,198272,805732352,1189632,2048,128,16,6
xl,4,30258006389.522694,198272,805732352,1189632,2048,128,16,6
s,4,15694605575.728355,789760,113405952,4738560,768,256,16,6
m,4,31389211151.45671,789760,113405952,4738560,768,256,16,6
l,4,78473027878.64177,789760,113405952,4738560,768,256,16,6
xl,4,156946055757.28354,789760,113405952,4738560,768,256,16,6
s,4,10010654539.839842,789760,201539584,4738560,1024,256,16,6
m,4,20021309079.679684,789760,201539584,4738560,1024,256,16,6
l,4,50053272699.19921,789760,201539584,4738560,1024,256,16,6
xl,4,100106545398.39842,789760,201539584,4738560,1024,256,16,6
s,4,6872466808.734301,789760,314839040,4738560,1280,256,16,6
m,4,13744933617.468601,789760,314839040,4738560,1280,256,16,6
l,4,34362334043.6715,789760,314839040,4738560,1280,256,16,6
xl,4,68724668087.343,789760,314839040,4738560,1280,256,16,6
s,4,4986040681.62447,789760,453304320,4738560,1536,256,16,6
m,4,9972081363.24894,789760,453304320,4738560,1536,256,16,6
l,4,24930203408.12235,789760,453304320,4738560,1536,256,16,6
xl,4,49860406816.2447,789760,453304320,4738560,1536,256,16,6
m,4,7545777515.707894,789760,616935424,4738560,1792,256,16,6
l,4,18864443789.269737,789760,616935424,4738560,1792,256,16,6
xl,4,37728887578.539474,789760,616935424,4738560,1792,256,16,6
l,4,14750348580.237648,789760,805732352,4738560,2048,256,16,6
xl,4,29500697160.475296,789760,805732352,4738560,2048,256,16,6
s,4,8807582920.222464,1774464,201539584,10646784,1024,384,16,6
m,4,17615165840.444927,1774464,201539584,10646784,1024,384,16,6
l,4,44037914601.11232,1774464,201539584,10646784,1024,384,16,6
xl,4,88075829202.22464,1774464,201539584,10646784,1024,384,16,6
s,4,6283257280.787207,1774464,314839040,10646784,1280,384,16,6
m,4,12566514561.574413,1774464,314839040,10646784,1280,384,16,6
l,4,31416286403.936035,1774464,314839040,10646784,1280,384,16,6
xl,4,62832572807.87207,1774464,314839040,10646784,1280,384,16,6
s,4,4668427373.387395,1774464,453304320,10646784,1536,384,16,6
m,4,9336854746.77479,1774464,453304320,10646784,1536,384,16,6
l,4,23342136866.936974,1774464,453304320,10646784,1536,384,16,6
xl,4,46684273733.87395,1774464,453304320,10646784,1536,384,16,6
m,4,7176333302.446395,1774464,616935424,10646784,1792,384,16,6
l,4,17940833256.115986,1774464,616935424,10646784,1792,384,16,6
xl,4,35881666512.23197,1774464,616935424,10646784,1792,384,16,6
l,4,14179570075.435312,1774464,805732352,10646784,2048,384,16,6
xl,4,28359140150.870625,1774464,805732352,10646784,2048,384,16,6
s,4,4291646272.7635784,3152384,453304320,18914304,1536,512,16,6
m,4,8583292545.527157,3152384,453304320,18914304,1536,512,16,6
l,4,21458231363.817894,3152384,453304320,18914304,1536,512,16,6
